1° año / Plan nuevo,,,,,
,Lunes,Martes,Miércoles,Jueves,Viernes
8:00,,"Programación para medios interactivos
orientada a las tecnologías web
(2° cuatrimestre)
Comisión 1
Aula 201 
Sede Fonseca",,"Introducción a narrativas transmedia
(2° cuatrimestre)
Aulas 
101, 108, 202
Sede Fonseca",
9:00,,,,,
10:00,,"Programación para medios interactivos
orientada a las tecnologías web
(2° cuatrimestre)
Comisión 2
Aula 201 
Sede Fonseca",,,
11:00,,,,,
12:00,,,,,
13:00,,,,,
14:00,,"Programación para medios interactivos
orientada a las tecnologías web
(2° cuatrimestre)
Comisión 3
Aula 202 
Sede Fonseca",,"Int. a los medios digitales
(cuatrimestral)
Aula 1
Sede Fonseca",
15:00,,,,,
16:00,,,,,
17:00,,,,,
18:00,"Taller de diseño de experiencias 
interactivas
(2° cuatrimestre)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones","Programación para medios interactivos
orientada a las tecnologías web
(2° cuatrimestre)
Comisión 4
Aula 8
Sede Fonseca","Taller de diseño de experiencias 
interactivas
(2° cuatrimestre)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones","Programación para medios interactivos
orientada a las tecnologías web
(2° cuatrimestre)
Comisión 5
Aula 201
Sede Fonseca",
19:00,,,,,
20:00,"Taller de diseño de experiencias 
interactivas
(2° cuatrimestre)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones",,"Taller de diseño de experiencias 
interactivas
(2° cuatrimestre)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones","Programación para medios interactivos
orientada a las tecnologías web
(2° cuatrimestre)
Horario opcional de consultas. Modalidad virtual",
21:00,,,,,
22:00,,,,,
Programas de las materias,,,,,
