1° año / Plan viejo,,,,,,,,
,Lunes,Martes,Miércoles,,Jueves,,Viernes,
8:00,,,"Historia social general
(anual)
Teórico 1
Aula 1 
Sede Fonseca
","Historia social general
(anual)
Comisión 2
Aula 10 
Sede Fonseca
","Lenguaje multimedial 1
(anual)
Aulas 
101, 108, 202
Sede Fonseca",,"Lenguaje visual 1
(anual)
Comisiones 
Turno Mañana
Las aulas de cada comisión las informa la cátedra en su sitio web",
9:00,,,,,,,,
10:00,,,,"Historia social general
(anual)
Comisión 3 y 4
Aula 10 y 101
Sede Fonseca
",,"Arte Contemporáneo
Cátedra B
Comisión
Aula 101
Sede Central",,
11:00,,,,,,,,
12:00,"Historia social general
(anual)
Comisión 1
Aula 10 
Sede Fonseca
",,,,,,,"Arte Contemporáneo
Cátedra A
(Cuatrimestral)
Comisiones 
Aula 101 y 202
Sede Fonseca"
13:00,,,,,,,,
14:00,,,,,,"Arte Contemporáneo
Cátedra B
(Cuatrimestral)
Comisiones
Aula 101 (Sede Central)
Aula 211 (Sede Central)
Aula 202 (sede Fonseca)","Historia social general
(anual)
Comisión 6
Aula 213
Sede Central
",
15:00,,,,,,,,
16:00,,"Arte Contemporáneo
Cátedra B
(Cuatrimestral)
Teórico
Auditorio Rollie
Sede Central",,,"Historia social general
(anual)
Comisión 5
Aula 110
Sede Fonseca
","Arte Contemporáneo
Cátedra A
(Cuatrimestral)
Teórico
Aula 201 
Sede Fonseca","Historia social general
(anual)
Teórico 2
Aula 1 
Sede Fonseca
","Arte Contemporáneo
Cátedra A
(Cuatrimestral)
Comisiones 
Aula 101 y 202
Sede Fonseca"
17:00,,,,,,,,
18:00,"Taller de diseño multimedial 1
(anual)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones","Tecnología multimedial 1
(anual)
Comisión 4
Aula 8
Sede Fonseca","Taller de diseño multimedial 1
(anual)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones",,"Tecnología multimedial 1
(anual)
Comisión 5
Aula 201
Sede Fonseca","Historia social general
(anual)
Comisión 6
Aula 101
Sede Central
","Lenguaje visual 1
(anual)
Comisiones 
Turno Noche
Las aulas de cada comisión las informa la cátedra en su sitio web",
19:00,,,,,,,,
20:00,"Taller de diseño multimedial 1
(anual)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones",,"Taller de diseño multimedial 1
(anual)
Las aulas de cada comisión las informa la cátedra al momento de armar las comisiones",,"Tecnología multimedial 1
(anual)
Horario opcional de consultas. Modalidad virtual",,,
21:00,,,,,,,,
22:00,,,,,,,,
